name,Type,effect,component,group,term,estimate,std.error,statistic,p.value
w3,FA index,fixed,cond,NA,(Intercept),-1.2783060765818748,0.5904420134849385,-2.164998505165627,0.030387799748414168
w3,FA index,fixed,cond,NA,SeasonQ320,-0.8829204477981376,0.2699339126397018,-3.270876338448917,0.0010721478189571836
w3,FA index,fixed,cond,NA,SeasonQ419,0.183079211045483,0.1769170028277791,1.0348310683496178,0.30074781092382674
w3,FA index,fixed,cond,NA,SeasonQ420,-0.9470908005384909,0.25686789474493715,-3.6870734720620746,2.2684787668978104e-4
w3,FA index,fixed,cond,NA,TreatmentImpact,0.2122694446263157,0.15781840503842418,1.3450233803505636,0.17861768435114908
w3,FA index,fixed,cond,NA,Sexmale,0.061767621319922236,0.13392915725233778,0.46119622184693515,0.6446578320828114
w3,FA index,fixed,cond,NA,Maturitymature,0.16358606405774448,0.16503600643319954,0.9912143876552058,0.32158090658156
w3,FA index,fixed,cond,NA,Age,-0.04856202109995722,0.034062053716066173,-1.4256926932462617,0.15395706656838995
w3,FA index,fixed,cond,NA,Fulton,0.07476126157203569,0.5593296008712515,0.13366226542557777,0.8936696451734185
w3,FA index,ran_pars,cond,Location,sd__(Intercept),3.479748338125635e-5,NA,NA,NA
w3,FA index,ran_pars,cond,ID,sd__TreatmentControl,7.786133954337502e-4,NA,NA,NA
w3,FA index,ran_pars,cond,ID,sd__TreatmentImpact,0.21252494444082973,NA,NA,NA
w3,FA index,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
w6,FA index,fixed,cond,NA,(Intercept),-2.662883432926438,0.5103344434812648,-5.21791830228327,1.809452384655195e-7
w6,FA index,fixed,cond,NA,SeasonQ320,-0.9201675495687176,0.28886776146089366,-3.185428325110236,0.0014453990319015357
w6,FA index,fixed,cond,NA,SeasonQ419,-0.11612412043188772,0.17124970584584587,-0.6780982183783683,0.4977094202936175
w6,FA index,fixed,cond,NA,SeasonQ420,-0.8426848031838561,0.26240310333270606,-3.2114132511436018,0.0013208384236615242
w6,FA index,fixed,cond,NA,TreatmentImpact,0.5369279645747195,0.16202652988451205,3.3138274636717,9.20282753328966e-4
w6,FA index,fixed,cond,NA,Sexmale,0.025716295443175427,0.11358835124369172,0.22639905555107365,0.8208910624238828
w6,FA index,fixed,cond,NA,Maturitymature,0.051229859137758495,0.12738021412911094,0.40218066430499616,0.6875510712422603
w6,FA index,fixed,cond,NA,Age,-0.038971986925553745,0.030644205624338092,-1.2717571277031767,0.2034594259395442
w6,FA index,fixed,cond,NA,Fulton,0.07880080151157229,0.4771463726575206,0.1651501636126506,0.8688257901997326
w6,FA index,ran_pars,cond,Location,sd__(Intercept),8.849752279953882e-8,NA,NA,NA
w6,FA index,ran_pars,cond,ID,sd__TreatmentControl,6.097662286677984e-4,NA,NA,NA
w6,FA index,ran_pars,cond,ID,sd__TreatmentImpact,0.516754850366718,NA,NA,NA
w6,FA index,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
SFA,FA index,fixed,cond,NA,(Intercept),-0.5258146165662559,0.41636600327984197,-1.2628663541793852,0.20663721336171956
SFA,FA index,fixed,cond,NA,SeasonQ320,0.8335322464892575,0.15440510523838163,5.398346416087673,6.725790807874604e-8
SFA,FA index,fixed,cond,NA,SeasonQ419,0.3509816055994124,0.12434068785849364,2.822741386141021,0.004761496288985956
SFA,FA index,fixed,cond,NA,SeasonQ420,1.0302643321647782,0.14195420624327537,7.2577231730573235,3.9366015351713445e-13
SFA,FA index,fixed,cond,NA,TreatmentImpact,-0.1883102203855011,0.16620423263940046,-1.133004962599612,0.2572121693098408
SFA,FA index,fixed,cond,NA,Sexmale,-0.001079133771478331,0.098824433246361,-0.01091970614987633,0.9912875082010818
SFA,FA index,fixed,cond,NA,Maturitymature,-0.12615966435543813,0.11556930523194445,-1.0916364349706795,0.2749929347865016
SFA,FA index,fixed,cond,NA,Age,-0.0040420254635943976,0.020846953849829774,-0.1938904596187516,0.8462616540676471
SFA,FA index,fixed,cond,NA,Fulton,-0.4386439473367484,0.393517807865527,-1.114673690921357,0.26499027909068645
SFA,FA index,ran_pars,cond,Location,sd__(Intercept),0.1070634476060831,NA,NA,NA
SFA,FA index,ran_pars,cond,ID,sd__TreatmentControl,0.07632575470408218,NA,NA,NA
SFA,FA index,ran_pars,cond,ID,sd__TreatmentImpact,0.003044865078945811,NA,NA,NA
SFA,FA index,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
MFA,FA index,fixed,cond,NA,(Intercept),-0.43142879474482887,0.38508054841465994,-1.1203598741120013,0.26256043685042374
MFA,FA index,fixed,cond,NA,SeasonQ320,-0.03206157917789316,0.1823276293860228,-0.1758459718138089,0.8604149520381608
MFA,FA index,fixed,cond,NA,SeasonQ419,-0.36282991780010043,0.115559094359657,-3.139778135253096,0.001690758301935156
MFA,FA index,fixed,cond,NA,SeasonQ420,-0.26811579383454154,0.15102151264396327,-1.7753483536258226,0.07584038602808597
MFA,FA index,fixed,cond,NA,TreatmentImpact,-0.052769588515449835,0.25604769573077485,-0.20609280768898308,0.8367184168137972
MFA,FA index,fixed,cond,NA,Sexmale,0.018698498954058628,0.08286083815176067,0.22566147496374694,0.8214647237159443
MFA,FA index,fixed,cond,NA,Maturitymature,0.08697509206815505,0.09227751502733123,0.9425382991988279,0.34591711236481487
MFA,FA index,fixed,cond,NA,Age,0.022613860432831864,0.01964594658995397,1.151070035199808,0.24970342429497838
MFA,FA index,fixed,cond,NA,Fulton,0.1782661515932925,0.34686485723086197,0.5139354647122535,0.6072971112892787
