ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_120,Q419,Olderfjord,Olderfjord,Control,female,mature,4,0.7610141579073937,Arachidonic,0.2349950102,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,w3,25.7965866997,FA index
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,w6,4.5573953561,FA index
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,SFA,29.2546065288,FA index
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,MFA,41.7800719416,FA index
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,PUFA,28.9653215299,FA index
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Oleic,14.1071671751,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Linoleic,2.1098324104,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Linolenic,0.7211718845,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Docosahexaenoic,13.0267525978,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Eicosapentaenoic,10.3642807317,FA
F_127,Q419,Olderfjord,Olderfjord,Control,female,immature,4,0.7289692374981775,Arachidonic,1.0880494069,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,w3,21.0554458934,FA index
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,w6,3.7169982529,FA index
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,SFA,30.9201653037,FA index
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,MFA,45.477500906,FA index
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,PUFA,23.6023337904,FA index
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Oleic,13.9642294958,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Linoleic,2.0514506272,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Linolenic,0.8813402713,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Docosahexaenoic,13.1798823858,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Eicosapentaenoic,5.6583857663,FA
F_132,Q419,Olderfjord,Olderfjord,Control,female,mature,6,0.7763675630756711,Arachidonic,0.3273925648,FA
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,w3,18.7012544866,FA index
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,w6,3.4787576460000005,FA index
F_134,Q419,Olderfjord,Olderfjord,Control,female,mature,5,1.11620005013325,SFA,31.824748162099997,FA index
