ID,fisk_id1,fisk_id2,Longitude,Latitude,Season,Date,Fjord,Distance_farm,Treatment,Treatment_2,Farm,Length_cm,Weight_g,Gonade_g,Length,Weight,Liver,Gonad,Stomach,Ovarie,Code_sex_maturity,Maturity,Sex,nitrogen,dorsal fin,otolitt,redskap_Norw,Sampling_gear,Age,Age_first_spawn,Spawning_zones,pan1,pan2,NEAC,CC,Genotype,FA_G,FA_M,FA_L,Lauric,Tridecanoic,Myristic,Myristoleic,Pentadecanoic,Palmitic,Palmitoleic,Heptadecanoic,cis_10_Heptadecenoic,Stearic,Elaidic,Oleic,Vaccenic,Linoleic,Arachidic,g_Linolenic_Acid,cis_11_Eicosenoic,Linolenic,Eicosadienoic,Behenic,Eicosatrienoic_3n6,Erucic,Eicosatrienoic_3n3,Arachidonic,Docosadienoic,Lignoceric,Eicosapentaenoic,Nervonic,Docosatetraenoic,Docosapentaenoic,Docosahexaenoic
F_201,WP3-201,20-B-05,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,91,5800,138,91,5800,743,138,158,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,8,7,2,A,A,0.00,1.00,CC,1,1,1,0,2.2117539895,1.8771296299,0.0146081474,0.1925866182,8.9201846569,3.2257169571,0.1254781767,0.2230970811,2.3313787439,0.0410743553,42.8038785037,4.0528206134,14.7603114298,0.0888440976,0.0844509573,0.0919769189,6.9673509542,0.3668339514,0.00973247,0.0588369619,0.2451305005,0.1172660329,0.3317789569,0.4043222748,0.0178327449,4.9318100264,0.1605715541,0.0076903628,0.0389355949,5.2966167375
F_202,WP3-202,20-B-06,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,49,1223,,49,1223,102,NA,37,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,3,NA,NA,A,A,0.00,1.00,CC,1,1,1,0,5.2854837494,2.9217135506,0.0336116743,0.3196418158,12.9984965378,5.1345281981,0.2280569166,0.3329863104,2.973817408,0.1531419904,0.8914238741,6.5339481409,28.6367171667,0.1348681243,0.1388200871,0.2000232553,10.9388661049,1.0145606116,0.0217089756,0.0913930812,0.3611644301,0.2040898992,0.699823095,0.6240348658,0.0199976378,9.448312774,0.1714205462,0.0178695994,0.118605423,9.3508741565
F_203,WP3-203,20-B-07,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,61.5,2372,13,61.5,2372,230,13,127,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,B,1.00,0.00,NEAC,1,1,1,0.0708932027,3.4256810561,2.3336293042,0.0220053596,0.269404375,8.4204386455,3.3883026146,0.1550514121,0.2167683484,2.017473231,0.3139690199,37.6407855264,4.00973654,17.0842677935,0.1051552648,0.0913622018,0.3719014347,6.570575307,0.9254712336,0.0170201337,0.0694843532,0.2335209424,0.1620508957,0.4293818337,0.4038511151,0.0114030518,5.8157128045,0.1066604275,0.0157490685,0.0426925556,5.2596009471
F_204,WP3-204,20-B-08,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,59.5,1811,,59.5,1811,83,NA,44,1,immature_male_berg,immature,male,1,1,1,Jukse,hooks,6,NA,NA,A,B,0.20,0.80,CC,0,1,1,0.0626245276,2.8449466033,5.1045984326,0.0806679867,0.1846425385,11.6248822327,8.8243106626,0.1151795306,0.1731548598,2.1855744404,0.0647964356,22.3709060423,4.4178189136,7.0317859175,0.1163410019,0.0898677115,13.9002815742,2.6280983023,0.3522180706,0.0193692564,0.0783214261,0.8681488741,0.0703911192,0.3548432344,0.5010385812,0.0268233639,6.4059163782,0.4181796634,0.3843667506,0.0191005712,8.6808049966
F_206,WP3-206,20-B-10,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,69.5,2759,16,69.5,2759,61,16,157,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,5,NA,NA,A,A,0.00,1.00,CC,1,1,1,0.1773585468,5.5050718781,6.4998237016,0.0586046234,0.695201794,17.436274474,6.7243677596,0.2404687864,0.4823503842,3.5632441089,0.1986869094,21.5510748643,5.2593918371,4.7134553529,0.2119563199,0.0924379808,11.2341741243,1.7468989561,0.8164015611,0.1117725958,0.1274548366,0.8666252173,0.2531234077,0.3034221712,0.5781925238,0.0497523185,2.6045424191,0.8319633522,0.0636368918,0.1364528474,6.8658174556
F_207,WP3-207,20-B-11,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,60.5,2275,10,60.5,2275,149,10,104,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,A,0.00,1.00,CC,1,1,1,0,3.4563354825,2.1384912715,0.0190490058,0.2090116826,8.7261553614,3.2324089966,0.1425057856,0.1919637278,2.1202815017,0.1043568921,38.2574485123,3.7886085351,17.2283882452,0.0983269567,0.0754154691,0.1647702304,6.6564064309,0.6447733121,0.0427586292,0.0670194439,0.2679678257,0.1312915406,0.3673141968,0.3820573483,0.0277448608,5.2703045002,0.1583944565,0.0104817568,0.0399901016,5.9799779405
F_208,WP3-208,20-B-12,21.81979,70.19185,Q220,12/05/2020,Bergsfjord,0,Impact,Impact,1,55,1389,,55,1389,46,NA,105,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,5,NA,NA,A,B,1.00,0.00,NEAC,0,1,1,0,4.6594725363,4.3448097904,0.0324805055,0.38669003,14.0799520882,6.0767122493,0.22956303,0.2763745211,2.8928363502,0,1.5225329389,6.0513524034,22.5216866744,0.1448418348,0.0876724767,8.5680814703,6.924949682,1.1545078188,0.080683567,0.217649879,0.531033481,0.3606108634,0.6926527802,0.8826648366,0.0946898042,6.6249759246,0.3436098391,0.2341111313,0.2074837356,9.7753177578
F_209,WP3-209,20-B-13,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,95,8100,93,95,8100,423,93,241,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,6,NA,NA,A,B,0.88,0.12,NEAC,1,1,1,0,3.3376459468,2.9850138947,0.0272781117,0.3768191701,11.3222403202,4.2608362072,0.2359271182,0.4373301712,2.8309728475,0.1346378738,27.6164033003,5.0447041783,8.6584134059,0.0856692372,0.062311901,7.247419233,3.2375932669,0.9218251285,0.0956241945,0.152347451,0.3971372781,0.2724111225,0.69968061,0.641785671,0.030676485,6.9043570988,0.2707112844,0.0230471254,0.1231821992,11.5659981676
F_210,WP3-210,20-B-14,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,45.5,853,3,45.5,853,61,3,52,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,3,NA,NA,A,B,0.97,0.03,NEAC,1,1,1,0,3.3031787015,2.0737034856,0.0255825778,0.1974949754,9.2107470206,3.701436471,0.1400284877,0.1817890124,2.3281501422,0.0826125634,36.3352512722,4.2073209038,17.0493508868,0.0902269228,0.0455808218,0.1200591606,6.831498782,0.4750217415,0.0313234512,0.0615948268,0.2161872864,0.1119632091,0.401050545,0.3583604314,0.0160645143,6.0018421895,0.1373514859,0.0096551841,0.0401475901,6.2154253572
F_211,WP3-211,20-B-15,21.81979,70.19185,Q220,13/05/2020,Bergsfjord,0,Impact,Impact,1,38,537,,38,537,26,NA,14,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,4,NA,NA,A,B,0.92,0.08,NEAC,0,1,1,0.0270622107,3.2267104688,3.795628503,0.0499008963,0.3420992916,12.7037237001,6.0383586041,0.2489520508,0.2758070054,3.808889381,0.2637833339,49.2745004196,0.6479948445,11.8467521893,0.0892425514,0.0376605784,0.2728789677,2.5723849028,1.2743636358,0.0656974724,0.0749073688,0.2399662411,0.1033989125,0.1184125653,0.1173510892,0.0112720123,1.4068968784,0.362671943,0.2556843379,0.0141798539,0.4328677901
